,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,W,GP,PTS,REB,AST,STL,BLK,TOV,PLUS_MINUS
763,296,Rick Fox,LAL,61,82,983,358,276,100,48,201,382
764,328,Rick Mahorn,DET,25,59,141,195,15,14,7,37,76
765,894,Ricky Pierce,MIL,11,39,151,45,34,9,0,21,-106
766,22,Rik Smits,IND,52,73,1216,505,101,40,88,134,437
767,109,Robert Horry,LAL,52,72,536,542,163,112,94,99,507
768,123,Robert Pack,DAL,0,12,94,34,42,20,1,38,-110
769,393,Rod Strickland,WAS,38,76,1349,405,801,126,25,266,100
770,915,Rodney Rogers,LAC,17,76,1149,424,202,93,38,193,-491
771,1518,Rodrick Rhodes,HOU,29,58,337,70,110,62,10,97,-79
772,166,Ron Harper,CHI,62,82,764,290,241,108,48,91,463
773,1500,Ron Mercer,BOS,35,80,1221,280,176,125,17,132,-97
774,938,Rony Seikaly,NJN,25,56,746,393,77,28,43,146,-186
775,964,Roy Rogers,TOR,4,15,20,17,2,3,8,5,-48
776,1601,Rusty LaRue,CHI,10,14,49,8,5,3,1,6,33
