,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
11899,11899,2023,1630529,Herbert Jones,1610612740,NOP,43,1238.9816666666666,415,164,93,72,28,56,32,0.55325,0.15975,0.0555,13.076480385625452,1.9506235213062333,0.0
11900,11900,2023,1630193,Immanuel Quickley,1610612752,NYK,59,1636.5433333333333,747,238,187,50,8,63,101,0.5168947368421053,0.2053684210526316,0.1076842105263157,16.250477667573,5.0997031571060445,0.0
11901,11901,2023,1630171,Isaac Okoro,1610612739,CLE,61,1294.9116666666666,386,155,70,44,26,37,47,0.6123684210526316,0.1342631578947368,0.045,12.29329917767884,2.3690919317857184,0.0
11902,11902,2023,1628392,Isaiah Hartenstein,1610612752,NYK,60,1181.36,312,396,52,34,50,49,8,0.5953684210526315,0.1282105263157894,0.1006842105263157,16.04737134141237,2.577595833609716,0.0
11903,11903,2023,1630543,Isaiah Jackson,1610612754,IND,45,688.575,306,175,40,19,66,39,2,0.60425,0.1232727272727272,0.1155625,20.17535663821989,1.8491965910082224,0.0
11904,11904,2023,1630198,Isaiah Joe,1610612760,OKC,49,770.885,409,109,53,29,6,21,104,0.3711818181818182,0.1020714285714285,0.0467272727272727,19.065601260925,2.8958323115422115,0.0
11905,11905,2023,1630587,Isaiah Livers,1610612765,DET,37,781.98,202,88,23,19,20,22,46,0.47425,0.1225,0.017875,8.380630391896773,0.8032545299788206,0.0
11906,11906,2023,1630600,Isaiah Mobley,1610612739,CLE,8,26.05666666666667,9,11,0,1,0,0,1,0.25,0.1031666666666666,0.20325,16.67614382711644,,0.0
11907,11907,2023,1629676,Isaiah Roby,1610612752,NYK,42,473.6283333333333,172,108,38,18,7,31,18,0.496,0.12325,0.1361111111111111,11.39888637480036,0.4047748362632295,0.0
11908,11908,2023,1630191,Isaiah Stewart,1610612765,DET,48,1367.9083333333333,552,386,66,20,32,67,64,0.6246363636363637,0.1481818181818181,0.0934545454545454,15.021824644122251,2.7694076313368154,0.0
11909,11909,2023,1630225,Isaiah Todd,1610612764,WAS,4,12.583333333333334,2,0,0,0,0,0,0,0.5,0.0333333333333333,0.04,-3.7679400504891225,,0.0
11910,11910,2023,202397,Ish Smith,1610612743,DEN,30,310.5516666666667,85,42,73,6,6,35,2,0.3299999999999999,0.127,0.0234444444444444,7.61004708637095,-0.1009516491421356,0.0
11911,11911,2023,1630688,Ish Wainright,1610612756,PHX,42,653.2716666666666,179,90,43,35,13,19,40,0.428125,0.0863571428571428,0.0645,11.16823411447118,1.0266140324134436,0.0
11912,11912,2023,1627826,Ivica Zubac,1610612746,LAC,59,1733.4566666666667,602,598,62,23,77,101,0,0.62805,0.15695,0.1099499999999999,17.682339237787502,4.1965469334249335,0.0
11913,11913,2023,1631120,JD Davison,1610612738,BOS,6,13.75,4,2,1,1,0,1,0,0.5,0.0715,0.2,-2.3917154250949824,,0.0
11914,11914,2023,1630550,JT Thor,1610612766,CHA,47,506.26666666666665,121,82,18,11,11,22,15,0.3741111111111111,0.106875,0.0395555555555555,6.8489018548495055,0.0827638259953943,0.0
11916,11916,2023,203210,JaMychal Green,1610612744,GSW,38,557.6216666666667,250,149,36,18,13,42,26,0.4945,0.1358235294117647,0.058,16.482463126779702,1.3372302470566606,0.0
11917,11917,2023,201580,JaVale McGee,1610612742,DAL,36,292.6066666666667,147,93,10,4,21,31,1,0.6996249999999999,0.0946666666666666,0.081625,18.8523895678398,0.4864354079212773,0.0
11918,11918,2023,1631095,Jabari Smith Jr.,1610612745,HOU,55,1646.165,660,387,65,28,53,81,88,0.4862941176470587,0.1826470588235294,0.0590588235294117,11.548312526439418,1.838519990858052,0.0
11919,11919,2023,1631133,Jabari Walker,1610612757,POR,38,334.86,106,80,20,4,6,14,5,0.4282222222222222,0.0596842105263157,0.0177777777777777,12.269216789778993,0.6546244517824777,0.0
11920,11920,2023,1631298,Jack White,1610612743,DEN,14,43.06666666666667,12,7,0,1,2,1,1,0.25,0.131,-0.0012499999999999,6.670408471316919,0.008362252027342,0.0
11921,11921,2023,1630702,Jaden Hardy,1610612742,DAL,31,366.83,202,43,25,9,3,26,24,0.1666666666666666,0.0918888888888888,-0.2706666666666666,13.518436085193292,0.5644581717147602,0.0
11922,11922,2023,1631093,Jaden Ivey,1610612765,DET,55,1653.1416666666669,838,217,253,51,13,156,76,0.47,0.2211538461538461,0.059,14.006089734439565,2.897942973476505,0.0
11923,11923,2023,1630183,Jaden McDaniels,1610612750,MIN,58,1770.0883333333334,662,225,118,55,57,84,72,0.5664666666666667,0.1502,0.0475333333333333,13.327143433297367,3.502621974662236,0.0
11924,11924,2023,1630531,Jaden Springer,1610612755,PHI,7,26.216666666666665,17,7,1,2,2,1,0,0.0,0.048,-0.35,29.21837102861604,0.13499709327722,0.0
11925,11925,2023,1630256,Jae'Sean Tate,1610612745,HOU,20,419.93666666666667,154,77,51,11,4,33,8,0.7,0.143,0.048,11.365866318183368,0.5333083203982224,0.0
11926,11926,2023,1631222,Jake LaRavia,1610612763,MEM,30,381.43666666666667,96,59,21,12,4,18,21,0.4129285714285715,0.0859411764705882,0.0165714285714285,7.683191209027581,0.313418492258584,0.0
11927,11927,2023,1627751,Jakob Poeltl,1610612761,TOR,49,1277.99,598,434,146,39,61,101,0,0.6463125,0.1884375,0.13725,24.628895074786563,4.357642386692499,0.0
11928,11928,2023,1628973,Jalen Brunson,1610612752,NYK,56,1965.42,1341,203,347,51,15,114,106,0.5935,0.2391111111111111,0.1386666666666666,23.875689073297163,10.827203888636284,0.0
11929,11929,2023,1631105,Jalen Duren,1610612765,DET,51,1282.515,441,446,55,31,46,61,0,0.5284545454545454,0.1141818181818181,0.0684545454545454,19.275999557116545,3.605253742296756,0.0
11930,11930,2023,1630224,Jalen Green,1610612745,HOU,54,1832.8366666666664,1176,216,195,41,13,154,137,0.535235294117647,0.2797647058823529,0.0983529411764705,15.973256807714469,4.633936718452784,0.0
11931,11931,2023,1630552,Jalen Johnson,1610612737,ATL,55,789.9583333333334,287,213,50,25,24,27,23,0.4741666666666666,0.146125,0.083,15.269059628176072,1.4788913601568046,0.0
11932,11932,2023,1629667,Jalen McDaniels,1610612755,PHI,59,1549.9066666666668,612,283,115,67,29,80,67,0.5721875,0.1636875,0.0765625,13.709619006451131,2.179734645022896,0.0
