,Unnamed: 0,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,TS_PCT,USG_PCT,PIE,PER,WS,AS
3242,3242,2004,2446,Rasual Butler,1610612748,MIA,17,245.56666666666663,103,24,10,4,3,9,16,0.5632307692307692,0.1398421052631579,0.1438461538461538,18.00551680562101,0.9721909746341232,0.0
3243,3243,2004,2221,Raul Lopez,1610612762,UTA,53,1099.575,398,109,191,34,2,126,19,0.5442,0.212,0.1244571428571428,14.668800188665408,2.3515404107628584,0.0
3245,3245,2004,2558,Reece Gaines,1610612753,ORL,20,151.01,18,18,17,4,2,8,1,0.216090909090909,0.0732777777777777,0.0017272727272727,2.736197444482136,-0.2126100242220567,0.0
3246,3246,2004,2501,Reggie Evans,1610612760,SEA,49,796.4583333333334,139,246,15,35,5,43,0,0.407076923076923,0.1091851851851851,-0.005,12.39302839424294,1.3160906323618222,0.0
3247,3247,2004,397,Reggie Miller,1610612754,IND,52,1519.9016666666666,539,129,168,42,8,42,96,0.5916896551724138,0.1375333333333333,0.1092413793103448,20.86141345260549,6.678234399409701,0.0
3248,3248,2004,1888,Richard Hamilton,1610612765,DET,53,1957.8116666666667,959,196,197,63,9,145,6,0.5128888888888888,0.241054054054054,0.1045833333333333,19.83179555885437,7.434017969326795,0.0
3249,3249,2004,2210,Richard Jefferson,1610612751,NJN,51,1965.513333333333,871,297,175,65,19,118,24,0.5692962962962963,0.216,0.1265925925925926,20.51129870830423,7.309990711413096,0.0
3250,3250,2004,2499,Richie Frahm,1610612760,SEA,40,350.15833333333336,144,45,19,13,4,4,28,0.529,0.10708,0.0684545454545454,22.42828413953469,1.742425267339657,0.0
3251,3251,2004,1594,Rick Brunson,1610612741,CHI,31,336.90166666666664,103,33,73,22,3,27,10,0.5410588235294118,0.0869259259259259,0.0990588235294117,18.803975347999884,0.8838885692129201,0.0
3252,3252,2004,296,Rick Fox,1610612747,LAL,9,183.06166666666667,32,29,20,6,4,7,2,0.276,0.1146,0.0028,8.728580495405305,0.1585576474023974,0.0
3253,3253,2004,1729,Ricky Davis,1610612738,BOS,51,1583.305,691,250,178,55,14,133,31,0.5128571428571428,0.2302142857142857,0.1001428571428571,18.0598873167026,4.016419935368784,0.0
3254,3254,2004,2425,Robert Archibald,1610612761,TOR,18,161.33833333333334,18,31,8,8,2,6,0,0.2393636363636363,0.0393,-0.1869090909090909,4.648754735570146,-0.0603487796068163,0.0
3255,3255,2004,109,Robert Horry,1610612759,SAS,52,831.2366666666667,240,172,72,31,33,35,30,0.4243684210526316,0.1597368421052631,0.0998421052631579,17.22302861892232,2.0621906649808257,0.0
3256,3256,2004,123,Robert Pack,1610612751,NJN,26,214.885,49,18,27,12,1,16,0,0.373076923076923,0.1399375,0.1504615384615384,10.15423523939712,0.0934556210649026,0.0
3257,3257,2004,1714,Robert Traylor,1610612740,NOH,47,576.965,229,163,29,22,24,38,1,0.4298461538461539,0.1863333333333333,0.0789230769230769,21.22491162054548,1.7601287449188183,0.0
3258,3258,2004,393,Rod Strickland,1610612761,TOR,39,775.205,266,99,149,24,6,59,8,0.479695652173913,0.1626666666666666,0.0910869565217391,20.70740483038596,2.421833646179968,0.0
